rank,composite,rho,hof,d,p,maxtan,smiles
64,0.9423929516109368,1.9521855115890503,253.99209594726562,9.310796737670898,37.99652099609375,0.0,O=[N+]([O-])N=Cc1nc([N+](=O)[O-])c2nc([N+](=O)[O-])nc([N+](=O)[O-])n12
65,0.9420373101428854,1.9480689764022827,121.80682373046875,9.403112411499023,38.366493225097656,0.0,O=[N+]([O-])N=c1[nH]c([N+](=O)[O-])nc2nn(N[N+](=O)[O-])c([N+](=O)[O-])c12
66,0.9417190019457572,1.9457728862762451,122.08462524414062,9.152813911437988,37.23542785644531,0.0,O=[N+]([O-])CC(N=Nc1no[n+]([O-])c1[N+](=O)[O-])=NO[C][N+][O-]
67,0.9409468465016,1.9457067251205444,120.60397338867188,9.309529304504395,37.16082000732422,0.0,O=c1n(N[N+](=O)[O-])cnc2c([N+](=O)[O-])nc([N+](=O)[O-])n12
68,0.9405765989070782,1.989163875579834,46.197357177734375,9.711766242980957,38.76641845703125,0.0,O=c1n(N[N+](=O)[O-])c(=O)n2c3c([N+](=O)[O-])nn([N+](=O)[O-])c3nc([N+](=O)[O-])n12
69,0.938772497423832,1.9411334991455078,209.73291015625,9.217663764953613,37.15216827392578,0.0,O=[N+]([O-])Nc1nc2nnc([N+](=O)[O-])n2cc1[N+](=O)[O-]
70,0.9384132984503306,1.9303380250930786,133.875,9.400177001953125,37.23273849487305,0.0,O=[N+]([O-])N=CNN=C(N[N+](=O)[O-])c1no[n+]([O-])c1[N+](=O)[O-]
71,0.9381667312551115,1.9508788585662842,209.96636962890625,9.154060363769531,37.126930236816406,0.0,O=[N+]([O-])N=Cc1c([N+](=O)[O-])nn2nnnc2c1[N+](=O)[O-]
72,0.9381110004230391,1.9859752655029297,200.15884399414062,9.326305389404297,37.925418853759766,0.0,O=[N+]([O-])N=C1N=Nc2nc([N+](=O)[O-])c([N+](=O)[O-])c([N+](=O)[O-])c21
73,0.9376537902971194,1.9663945436477661,88.36016845703125,9.47340202331543,38.024269104003906,0.0,O=c1c2c([N+](=O)[O-])nn([N+](=O)[O-])c2n(C=N[N+](=O)[O-])c(=O)n1[N+](=O)[O-]
74,0.9366846685119984,1.9456243515014648,182.10586547851562,9.318500518798828,37.30272674560547,0.0,O=c1c([N+](=O)[O-])c(C=N[N+](=O)[O-])n2c3c(nnn13)N=C([N+](=O)[O-])N2N[N+](=O)[O-]
75,0.9366141239072303,1.9555376768112183,166.2696533203125,9.337637901306152,37.23970031738281,0.0,O=c1c(C=N[N+](=O)[O-])c([N+](=O)[O-])nc2n([N+](=O)[O-])nc([N+](=O)[O-])n12
76,0.9364892302914657,1.9474248886108398,91.39031982421875,9.457781791687012,38.394535064697266,0.0,O=c1[nH]c2c(nc([N+](=O)[O-])n2N[N+](=O)[O-])c(=N[N+](=O)[O-])n1[N+](=O)[O-]
77,0.9364134181217594,1.9609880447387695,156.1134033203125,9.04229736328125,36.78744125366211,0.0,O=c1c([N+](=O)[O-])cn2nnnc2n1N[N+](=O)[O-]
78,0.9358720654072354,1.9571971893310547,143.00555419921875,9.475494384765625,36.031883239746094,0.0,O=[N+]([O-])N=Cc1nc2c([N+](=O)[O-])c([N+](=O)[O-])nc([N+](=O)[O-])n2n1
79,0.9358013617108993,1.9720470905303955,87.91934204101562,9.313016891479492,37.96656799316406,0.0,O=[N+]([O-])N=Cn1nc(N[N+](=O)[O-])nc1[N+](=O)[O-]
80,0.9357065398723938,1.9534509181976318,169.89413452148438,9.118242263793945,35.97355651855469,0.0,N#Cc1noc([N+](=O)[O-])n1
81,0.9348011579281139,1.9477143287658691,89.85845947265625,9.242571830749512,37.88262176513672,0.0,O=C1[C@H]([N+](=O)[O-])C([N+](=O)[O-])n2nnnc2N1[N+](=O)[O-]
82,0.9340634210259597,1.9635664224624634,178.27517700195312,9.196638107299805,36.32495880126953,0.0,O=[N+]([O-])c1cnc([N+](=O)[O-])n2c([N+](=O)[O-])nnc12
83,0.9340313898321747,1.9465233087539673,286.4464111328125,9.003077507019043,37.170379638671875,0.0,O=[N+]([O-])N1c2nonc2-c2nonc2-c2nonc21
84,0.9338618200615348,1.9546825885772705,126.412109375,9.30666732788086,36.21003341674805,0.0,Nc1nc([N+](=O)[O-])c2nc([N+](=O)[O-])nc-2n1[N+](=O)[O-]
85,0.9335183018414855,1.924546241760254,91.1612548828125,9.253087997436523,37.69110870361328,0.0,O=CN(c1cn([N+](=O)[O-])c(=O)n1[N+][O-])[N+](=O)[O-]
86,0.9327824470769772,1.9592770338058472,131.09127807617188,9.350071907043457,37.424232482910156,0.0,O=c1n([N+](=O)[O-])c(C=N[N+](=O)[O-])c([N+](=O)[O-])c2nnc([N+](=O)[O-])n12
87,0.9327606601928572,1.9494407176971436,112.28036499023438,9.235462188720703,37.118408203125,0.0,O=c1n([N+](=O)[O-])c([N+](=O)[O-])nc2c([N+](=O)[O-])ncn12
88,0.9325610605569713,1.9265917539596558,230.25277709960938,9.173405647277832,37.65580749511719,0.0,O=c1c(C=N[N+](=O)[O-])nn([N+](=O)[O-])c2nc([N+](=O)[O-])nn12
89,0.9320373809851854,1.928878664970398,186.51516723632812,9.235848426818848,37.04222106933594,0.0,Nn1c([N+](=O)[O-])nc2c(=O)nc([N+](=O)[O-])n([N+](=O)[O-])c21
90,0.9314797201556151,1.9438453912734985,64.10452270507812,9.289605140686035,37.10713195800781,0.0,O=[N+]([O-])NON=Cc1c([N+](=O)[O-])no[n+]1[O-]
