rank,composite,rho,hof,d,p,maxtan,smiles
72,1.0057097427831792,1.9587373733520508,279.2458190917969,9.43087387084961,39.86225128173828,0.0,O=[N+]([O-])c1nc([N+](=O)[O-])n2nc([N+](=O)[O-])nc2n1
73,1.0056710925991916,1.9898860454559326,144.99636840820312,9.667028427124023,40.84251403808594,0.0,O=[N+]([O-])Nn1nnc([N+](=O)[O-])c1[N+](=O)[O-]
74,1.0055951940527248,1.9420946836471558,218.76498413085938,9.523902893066406,39.79072952270508,0.0,O=[N+]([O-])Nc1nnn2c([N+](=O)[O-])nn([N+](=O)[O-])c12
75,1.0046624404051412,1.9543581008911133,217.39620971679688,9.296037673950195,39.86659240722656,0.0,O=[N+]([O-])c1nnc([N+](=O)[O-])[nH]1
76,1.004440521521209,1.9491899013519287,384.2506408691406,9.364175796508789,39.20644760131836,0.0,O=[N+]([O-])c1nc2c3nc([N+](=O)[O-])nn3nnn2n1
77,1.0042961239757042,1.9471054077148438,257.2660217285156,9.452043533325195,38.41946029663086,0.0,O=[N+]([O-])N=C/N=[N+](\[O-])c1nonc1/N=[N+](\[O-])c1nonc1/N=[N+]\[O-]
78,1.004185584271439,1.9591741561889648,228.2958984375,9.314966201782227,39.63591003417969,0.0,O=[N+]([O-])n1[nH]c2nonc2on2onc12
79,1.0040777895482937,1.9691030979156494,163.4180908203125,9.482402801513672,39.43677520751953,0.0,O=c1c2nnn([N+](=O)[O-])c2nc([N+](=O)[O-])n1N[N+](=O)[O-]
80,1.004041646754776,1.9819121360778809,236.64395141601562,9.406421661376953,39.959190368652344,0.0,O=[N+]([O-])c1nc([N+](=O)[O-])c2nnn([N+](=O)[O-])c2n1
81,1.0039063304998326,2.0080113410949707,193.64697265625,9.528242111206055,41.552757263183594,0.0,O=[N+]([O-])c1nonc1N([N+](=O)[O-])[N+](=O)[O-]
82,1.0038434719463096,1.9516260623931885,179.26773071289062,9.4923095703125,39.316932678222656,0.0,O=c1n([N+](=O)[O-])c(N[N+](=O)[O-])nc2nc([N+](=O)[O-])nn12
83,1.0037866008915857,1.965656042098999,242.06747436523438,9.418024063110352,39.82062530517578,0.0,O=[N+]([O-])c1nc([N+](=O)[O-])c2c(nnn2[N+](=O)[O-])n1
84,1.0036789726109294,1.9306952953338623,148.19970703125,9.449529647827148,39.271568298339844,0.0,O=[N+]([O-])N=c1[nH]nnn1N[N+](=O)[O-]
85,1.003189277277539,1.9390867948532104,294.9981994628906,9.471664428710938,39.3580322265625,0.0,O=[N+]([O-])c1nnc2n1c1nnc([N+](=O)[O-])n1c1nnc([N+](=O)[O-])n21
86,1.003146475243266,1.9410988092422485,195.20156860351562,9.421225547790527,38.92825698852539,0.0,O=[N+]N([O-])NC=Nc1nc([N+](=O)[O-])nn1O[N+](=O)[O-]
87,1.0030195727631834,1.9641671180725098,140.79876708984375,9.504112243652344,39.201622009277344,0.0,O=c1c2c([N+](=O)[O-])nn([N+](=O)[O-])c2n2nnnc2n1N[N+](=O)[O-]
88,1.002999685934603,1.9807385206222534,162.02365112304688,9.406288146972656,39.86847686767578,0.0,O=c1nc([N+](=O)[O-])c2nn([N+](=O)[O-])nc2n1[N+](=O)[O-]
89,1.0021998434193484,1.99122953414917,201.1361083984375,9.36347770690918,38.97868347167969,0.0,O=[N+]([O-])c1nc(-c2nonc2[N+](=O)[O-])no1
90,1.0021402708841973,1.9575004577636719,140.15673828125,9.377702713012695,39.159385681152344,0.0,O=[N+]([O-])Nn1nnnc1N1N=NNN1[N+](=O)[O-]
91,1.0017731027197174,1.982649803161621,169.56729125976562,9.490582466125488,39.15087127685547,0.0,O=[N+]([O-])Nc1nc([N+](=O)[O-])c([N+](=O)[O-])c2nnnn12
92,1.0015917238802559,1.9421747922897339,251.95462036132812,9.36738395690918,39.278263092041016,0.0,N#[N+]c1n[n-]c([N+](=O)[O-])n1
93,1.001553089704718,1.9792413711547852,165.1947021484375,9.308241844177246,39.47508239746094,0.0,O=C(F)n1c([N+](=O)[O-])nnc1[N+](=O)[O-]
94,1.0014093139825402,2.002946615219116,195.9466552734375,9.387565612792969,39.91541290283203,0.0,O=[N+]([O-])c1nnnc2c1c([N+](=O)[O-])nn2[N+](=O)[O-]
95,1.0009551446651637,1.9758127927780151,136.77987670898438,9.494040489196777,39.67188262939453,0.0,O=c1c2c([N+](=O)[O-])noc2nc([N+](=O)[O-])n1[N+](=O)[O-]
96,1.000905157830697,1.9594130516052246,126.73123168945312,9.358294486999512,39.69416809082031,0.0,O=c1oc2nnnn2c([N+](=O)[O-])c1[N+](=O)[O-]
97,1.0008702158367837,1.997007131576538,184.3216552734375,9.557425498962402,39.164093017578125,0.0,O=c1c([N+](=O)[O-])c([N+](=O)[O-])n2nc([N+](=O)[O-])nc2n1[N+][O-]
98,1.0008048218955514,1.9652926921844482,226.71347045898438,9.434900283813477,39.38880920410156,0.0,O=c1n([N+](=O)[O-])nc([N+](=O)[O-])c2nc([N+](=O)[O-])nn12
99,1.0005246655081548,1.9699389934539795,217.837890625,9.402986526489258,38.438751220703125,0.0,O=[N+]([O-])N=Cn1nc([N+](=O)[O-])n2nnnc12
100,1.0000525753134393,1.9522935152053833,228.18069458007812,9.522411346435547,39.332908630371094,0.0,O=[N+]([O-])Nc1nn2c(c1[N+](=O)[O-])N=C2[N+](=O)[O-]
